CustomerID,Name,Username,Age,Gender,Address,PhoneNumber,Email
1,Dr. Akos Baah,dr. akos baah.845,37,male,"0357 Agyare Fork
Asiamahaven, WI 53784",0564516259,dr. akos baah.845@gmail.com
2,Owura Kweku Awuah,owura kweku awuah.724,47,female,"7576 Akwasi Forks Suite 565
West Lisa, NJ 53494",0282449868,owura kweku awuah.724@uk.org
3,Kevin Bona,kevin bona.369,1,female,"652 Acheampong Mission
Lake Stephanie, ME 09863",+233244750732,kevin bona.369@uk.org
4,Marcus Asante,marcus asante.373,53,male,"0878 Danso Causeway
Ntiview, GA 49787",+233541618514,marcus asante.373@yahoo.com
5,Osofo Andrew Gyamfi,osofo andrew gyamfi.134,45,female,"34466 Adrian Spur
West Adambury, VT 81544",0542539505,osofo andrew gyamfi.134@uk.org
6,Naomi Ansomaa,naomi ansomaa.432,36,female,"3928 Alex Orchard
East Josephville, RI 44151",+233556656710,naomi ansomaa.432@yahoo.com
7,Maureen Gyasiwaa-Foriwaa,maureen gyasiwaa-foriwaa.020,56,male,"625 Tweneboa Fields
Yawsontown, NE 23179",+233200493110,maureen gyasiwaa-foriwaa.020@yahoo.com
8,Owura Kofi Quartey,owura kofi quartey.548,36,male,"135 Ahortor Glen
South Comfort, OR 88435",+233277912034,owura kofi quartey.548@gmail.com
9,Akumaa Andorful-Baawia,akumaa andorful-baawia.372,60,male,"600 Asiedu Village
North Stephen, VI 44520",0543630131,akumaa andorful-baawia.372@uk.org
10,Mr. Max Karikari,mr. max karikari.034,45,male,"464 Akyeamfuɔ Bypass Apt. 007
East Sheila, NJ 06801",0575101075,mr. max karikari.034@gmail.com
11,Nimakoah Agyare-Gyasiwaa,nimakoah agyare-gyasiwaa.608,33,female,"926 Boatemaah Isle Suite 248
Amofort, IA 99065",+233561005685,nimakoah agyare-gyasiwaa.608@gmail.com
12,Rachael Amoanimaa,rachael amoanimaa.366,32,male,"468 Philip Motorway
Marianland, IA 66020",0574873987,rachael amoanimaa.366@yahoo.com
13,Christina Agyeiwaa,christina agyeiwaa.861,3,female,"USNS Donkor
FPO AP 60720",0285177401,christina agyeiwaa.861@gmail.com
14,Mr. Nicholas Antwi,mr. nicholas antwi.971,54,female,"4996 Mensa Locks
Eunicefort, AL 44051",0543826973,mr. nicholas antwi.971@gmail.com
