customer_id,first_name,last_name,email,transaction_activity,customer_preference
Otua877,Darrell,Fuller,joneslauren@example.com,withdrawal,website
Otua337,Travis,Martinez,hutchinsonthomas@example.net,deposit,app
Otua378,Carrie,Curry,morrisonapril@example.net,deposit,website
Otua207,Richard,Holmes,dwayne51@example.com,withdrawal,app
Otua910,Maria,Rodriguez,darius54@example.com,withdrawal,app
Otua096,David,Butler,christinevazquez@example.com,withdrawal,app
Otua887,Tyler,Sanders,jeffrey55@example.net,withdrawal,app
Otua110,Ronald,Hughes,fishernancy@example.com,withdrawal,website
Otua869,Aaron,Ellis,fisherdonna@example.net,deposit,website
Otua902,Katherine,Crane,alisha16@example.org,withdrawal,website
Otua959,Scott,Calhoun,stephen16@example.com,deposit,website
Otua185,Alan,Hicks,julie85@example.net,withdrawal,app
Otua736,Travis,Williams,jamierogers@example.net,withdrawal,website
Otua132,Jesse,Cunningham,danielleatkins@example.org,deposit,app
Otua916,Philip,Williams,timothywalker@example.com,withdrawal,app
Otua089,Sheri,Martinez,hollyjones@example.net,deposit,app
Otua629,James,Alvarado,rebeccaschmidt@example.net,withdrawal,app
Otua099,Daniel,Martinez,sandrews@example.net,deposit,website
Otua995,Dawn,Schroeder,rwashington@example.org,withdrawal,website
Otua099,Crystal,Lyons,mallory00@example.com,withdrawal,app
Otua013,Ryan,Lopez,swilliams@example.org,withdrawal,app
Otua930,Christopher,Bailey,williamkelly@example.org,withdrawal,app
Otua939,Diana,Mcintosh,paige31@example.com,deposit,app
Otua706,Amy,Taylor,hfoster@example.org,withdrawal,app
Otua589,Caleb,Bell,kellygray@example.net,deposit,website
Otua979,Debra,Shelton,carriecopeland@example.org,deposit,app
Otua937,Jennifer,Robertson,uthomas@example.com,withdrawal,app
Otua999,Glenn,Rice,yjones@example.net,deposit,app
Otua195,Kristina,Moon,tammy09@example.com,withdrawal,website
Otua091,Darin,Taylor,nathansmith@example.com,deposit,website
Otua651,Rebecca,Gutierrez,twalsh@example.org,deposit,app
Otua982,Kristy,Whitney,davidowens@example.net,deposit,app
Otua708,Ricky,Gross,mbuchanan@example.net,withdrawal,app
Otua569,Micheal,Brown,edward74@example.org,withdrawal,website
Otua000,Richard,Peterson,klopez@example.net,withdrawal,website
Otua651,Brian,Crane,loweryrita@example.com,withdrawal,website
Otua986,Karina,Mcneil,lopezdaniel@example.com,deposit,app
Otua093,Thomas,Webb,qswanson@example.com,withdrawal,website
Otua092,Hannah,Estrada,cohenbryan@example.org,withdrawal,app
Otua953,Carol,Richard,alexandermann@example.com,deposit,app
Otua987,Tina,Johnson,batespamela@example.com,deposit,website
Otua979,Hannah,Gray,kaylaholmes@example.org,deposit,app
Otua299,Autumn,Clark,staceymoore@example.com,withdrawal,app
Otua129,Margaret,Henderson,carterjustin@example.com,withdrawal,website
Otua155,Joshua,Sims,ambernelson@example.com,withdrawal,app
Otua665,Joseph,Kirby,lindanguyen@example.net,withdrawal,app
Otua976,Robert,Collins,dwilson@example.org,deposit,app
Otua190,James,Copeland,jmartinez@example.org,withdrawal,app
Otua509,Timothy,Warren,franklinlisa@example.com,withdrawal,website
Otua982,Holly,Long,camposalan@example.org,withdrawal,website
Otua330,Ashley,Martinez,kristinfarley@example.net,withdrawal,website
Otua951,Shannon,Farmer,mauricewilliams@example.net,deposit,website
Otua770,Tanya,Tucker,davidpaul@example.org,withdrawal,website
Otua673,Barry,Gross,jose08@example.org,withdrawal,app
Otua895,Julie,Browning,sheaclaire@example.org,deposit,website
